CODE*COMPLETO*DESCRIPCION1*DESCRIPCION2
M1A3711*1*Chronic gout due to renal impairment, right ank/ft, w toph*Gota crónica debida a insuficiencia renal, tobillo y pie derechos, con tofos (tofos)
M1A372*0*Chronic gout due to renal impairment, left ankle and foot*Gota crónica por insuficiencia renal, tobillo y pie izquierdos
M1A3720*1*Chronic gout due to renal impairment, left ank/ft, w/o toph*Gota crónica por insuficiencia renal, tobillo y pie izquierdos, sin tofos (tofos)
M1A3721*1*Chronic gout due to renal impairment, left ank/ft, w toph*Gota crónica por insuficiencia renal, tobillo y pie izquierdos, con tofos (tofos)
M1A379*0*Chronic gout due to renal impairment, unsp ankle and foot*Gota crónica debida a insuficiencia renal, tobillo y pie no especificados
M1A3790*1*Chronic gout due to renal impairment, unsp ank/ft, w/o toph*Gota crónica debida a insuficiencia renal, tobillo y pie no especificados, sin tofos (tofos)
M1A3791*1*Chronic gout due to renal impairment, unsp ank/ft, w toph*Gota crónica debida a insuficiencia renal, tobillo y pie no especificados, con tofos (tofos)
M1A38*0*Chronic gout due to renal impairment, vertebrae*Gota crónica debida a insuficiencia renal, vértebras
M1A38X0*1*Chronic gout due to renal impairment, vertebrae, w/o tophus*Gota crónica debida a insuficiencia renal, vértebras, sin tofos (tofos)
M1A38X1*1*Chronic gout due to renal impairment, vertebrae, with tophus*Gota crónica debida a insuficiencia renal, vértebras, con tofos (tofos)
M1A39*0*Chronic gout due to renal impairment, multiple sites*Gota crónica por insuficiencia renal, múltiples localizaciones
M1A39X0*1*Chronic gout due to renal impairment, mult sites, w/o toph*Gota crónica debido a insuficiencia renal, múltiples localizaciones, sin tofos (tofos)
M1A39X1*1*Chronic gout due to renal impairment, multiple sites, w toph*Gota crónica debida a insuficiencia renal, múltiples localizaciones, con tofos (tofos)
M1A4*0*Other secondary chronic gout*Otra gota crónica secundaria
M1A40*0*Other secondary chronic gout, unspecified site*Otra gota crónica secundaria, localización no especificada
M1A40X0*1*Other secondary chronic gout, unsp site, without tophus*Otra gota crónica secundaria, sitio no especificado, sin tofos (tofos)
M1A40X1*1*Other secondary chronic gout, unspecified site, with tophus*Otra gota crónica secundaria, sitio no especificado, con tofo (tofos)
M1A41*0*Other secondary chronic gout, shoulder*Otra gota crónica secundaria, hombro
M1A411*0*Other secondary chronic gout, right shoulder*Otra gota crónica secundaria, hombro derecho
M1A4110*1*Other secondary chronic gout, right shoulder, without tophus*Otra gota crónica secundaria, hombro derecho, sin tofos (tofos)
M1A4111*1*Other secondary chronic gout, right shoulder, with tophus*Otra gota crónica secundaria, hombro derecho, con tofos (tofos)
M1A412*0*Other secondary chronic gout, left shoulder*Otra gota crónica secundaria, hombro izquierdo
M1A4120*1*Other secondary chronic gout, left shoulder, without tophus*Otra gota crónica secundaria, hombro izquierdo, sin tofos (tofos)
M1A4121*1*Other secondary chronic gout, left shoulder, with tophus*Otra gota crónica secundaria, hombro izquierdo, con tofos (tofos)
M1A419*0*Other secondary chronic gout, unspecified shoulder*Otra gota crónica secundaria, hombro no especificado
M1A4190*1*Other secondary chronic gout, unsp shoulder, without tophus*Otra gota crónica secundaria, hombro no especificado, sin tofos (tofos)
M1A4191*1*Other secondary chronic gout, unsp shoulder, with tophus*Otra gota crónica secundaria, hombro no especificado, con tofo (tofos)
M1A42*0*Other secondary chronic gout, elbow*Otra gota crónica secundaria, codo
M1A421*0*Other secondary chronic gout, right elbow*Otra gota crónica secundaria, codo derecho
M1A4210*1*Other secondary chronic gout, right elbow, without tophus*Otra gota crónica secundaria, codo derecho, sin tofos (tofos)
M1A4211*1*Other secondary chronic gout, right elbow, with tophus*Otra gota crónica secundaria, codo derecho, con tofos (tofos)
M1A422*0*Other secondary chronic gout, left elbow*Otra gota crónica secundaria, codo izquierdo
M1A4220*1*Other secondary chronic gout, left elbow, without tophus*Otra gota crónica secundaria, codo izquierdo, sin tofos (tofos)
M1A4221*1*Other secondary chronic gout, left elbow, with tophus*Otra gota crónica secundaria, codo izquierdo, con tofos (tofos)
M1A429*0*Other secondary chronic gout, unspecified elbow*Otra gota crónica secundaria, codo no especificado
M1A4290*1*Other secondary chronic gout, unsp elbow, without tophus*Otra gota crónica secundaria, codo no especificado, sin tofos (tofos)
M1A4291*1*Other secondary chronic gout, unspecified elbow, with tophus*Otra gota crónica secundaria, codo no especificado, con tofo (tofos)
M1A43*0*Other secondary chronic gout, wrist*Otra gota crónica secundaria, muñeca
M1A431*0*Other secondary chronic gout, right wrist*Otra gota crónica secundaria, muñeca derecha
M1A4310*1*Other secondary chronic gout, right wrist, without tophus*Otra gota crónica secundaria, muñeca derecha, sin tofos (tofos)
M1A4311*1*Other secondary chronic gout, right wrist, with tophus*Otra gota crónica secundaria, muñeca derecha, con tofos (tofos)
M1A432*0*Other secondary chronic gout, left wrist*Otra gota crónica secundaria, muñeca izquierda
M1A4320*1*Other secondary chronic gout, left wrist, without tophus*Otra gota crónica secundaria, muñeca izquierda, sin tofos (tofos)
M1A4321*1*Other secondary chronic gout, left wrist, with tophus*Otra gota crónica secundaria, muñeca izquierda, con tofos (tofos)
M1A439*0*Other secondary chronic gout, unspecified wrist*Otra gota crónica secundaria, muñeca no especificada
M1A4390*1*Other secondary chronic gout, unsp wrist, without tophus*Otra gota crónica secundaria, muñeca no especificada, sin tofos (tofos)
